machine_id,block_id,rate
fb_01,B42891,830.802476
fb_01,B44010,1179.244646
fb_01,B45231,1411.987153
fb_01,B53160,864.347242
fb_01,B55424,812.781472
fb_01,B65573,1488.337326
fb_01,B68233,1423.413814
fb_01,B107189,772.716838
fb_01,B108060,905.982774
fb_01,B108124,1400.563922
fb_01,B108339,818.952046
fb_01,B109340,1731.753791
fb_01,B109517,1206.379535
fb_01,B109915,1587.27788
fb_01,B110288,1500.82014
fb_01,B110471,1307.147475
fb_01,B111410,1343.945447
fb_01,B111480,1895.663302
fb_02,B42891,830.802476
fb_02,B44010,1179.244646
fb_02,B45231,1411.987153
fb_02,B53160,864.347242
fb_02,B55424,812.781472
fb_02,B65573,1488.337326
fb_02,B68233,1423.413814
fb_02,B107189,772.716838
fb_02,B108060,905.982774
fb_02,B108124,1400.563922
fb_02,B108339,818.952046
fb_02,B109340,1731.753791
fb_02,B109517,1206.379535
fb_02,B109915,1587.27788
fb_02,B110288,1500.82014
fb_02,B110471,1307.147475
fb_02,B111410,1343.945447
fb_02,B111480,1895.663302
fb_03,B42891,830.802476
fb_03,B44010,1179.244646
fb_03,B45231,1411.987153
fb_03,B53160,864.347242
fb_03,B55424,812.781472
fb_03,B65573,1488.337326
fb_03,B68233,1423.413814
fb_03,B107189,772.716838
fb_03,B108060,905.982774
fb_03,B108124,1400.563922
fb_03,B108339,818.952046
fb_03,B109340,1731.753791
fb_03,B109517,1206.379535
fb_03,B109915,1587.27788
fb_03,B110288,1500.82014
fb_03,B110471,1307.147475
fb_03,B111410,1343.945447
fb_03,B111480,1895.663302
sk_01,B42891,697.777199
sk_01,B44010,655.459887
sk_01,B45231,983.72514
sk_01,B53160,812.749747
sk_01,B55424,530.40127
sk_01,B65573,728.754081
sk_01,B68233,423.045484
sk_01,B107189,442.111665
sk_01,B108060,552.868141
sk_01,B108124,545.04335
sk_01,B108339,444.389058
sk_01,B109340,406.765774
sk_01,B109517,609.055924
sk_01,B109915,406.765774
sk_01,B110288,406.765774
sk_01,B110471,406.765774
sk_01,B111410,406.765774
sk_01,B111480,406.765774
sk_02,B42891,697.777199
sk_02,B44010,655.459887
sk_02,B45231,983.72514
sk_02,B53160,812.749747
sk_02,B55424,530.40127
sk_02,B65573,728.754081
sk_02,B68233,423.045484
sk_02,B107189,442.111665
sk_02,B108060,552.868141
sk_02,B108124,545.04335
sk_02,B108339,444.389058
sk_02,B109340,406.765774
sk_02,B109517,609.055924
sk_02,B109915,406.765774
sk_02,B110288,406.765774
sk_02,B110471,406.765774
sk_02,B111410,406.765774
sk_02,B111480,406.765774
sk_03,B42891,697.777199
sk_03,B44010,655.459887
sk_03,B45231,983.72514
sk_03,B53160,812.749747
sk_03,B55424,530.40127
sk_03,B65573,728.754081
sk_03,B68233,423.045484
sk_03,B107189,442.111665
sk_03,B108060,552.868141
sk_03,B108124,545.04335
sk_03,B108339,444.389058
sk_03,B109340,406.765774
sk_03,B109517,609.055924
sk_03,B109915,406.765774
sk_03,B110288,406.765774
sk_03,B110471,406.765774
sk_03,B111410,406.765774
sk_03,B111480,406.765774
pr_01,B42891,448.475527
pr_01,B44010,626.728666
pr_01,B45231,697.352781
pr_01,B53160,455.27874
pr_01,B55424,424.478638
pr_01,B65573,927.649899
pr_01,B68233,748.022342
pr_01,B107189,511.829732
pr_01,B108060,514.376759
pr_01,B108124,663.191297
pr_01,B108339,458.287305
pr_01,B109340,934.109541
pr_01,B109517,694.235072
pr_01,B109915,731.447505
pr_01,B110288,766.40322
pr_01,B110471,690.46726
pr_01,B111410,627.192176
pr_01,B111480,916.750544
pr_02,B42891,448.475527
pr_02,B44010,626.728666
