id,work_required,volume_per_ha,stem_density_per_ha,area_ha,ground_slope_percent,harvest_system_id
4497,21845.531226235107,538.2752,617.4,40.58431677,4.622129163467197,ground_fb_loader_liveheel
5817,191054.52300734847,500.71734615384594,965.9807692307693,381.5616224900001,36.432437449574586,ground_fb_loader_liveheel
6017,45996.526464022405,669.8912857142858,492.57142857142856,68.66267325000001,59.21395047505697,ground_fb_loader_liveheel
8121,2857.8805268666406,129.096,688.0,22.137638090000003,,ground_fb_loader_liveheel
10412,1360.6372225462499,746.625,220.0,1.82238369,,ground_fb_loader_liveheel
11042,2620.23711763768,783.652,449.0,3.34362334,42.229679107666016,ground_fb_loader_liveheel
11805,12013.65026071927,844.763,514.0,14.22132629,,ground_fb_loader_liveheel
12039,4992.996871908926,189.1835,569.0,26.39234855,40.55687550136021,ground_fb_loader_liveheel
14953,9424.02627094742,182.578,696.0,51.61643939,22.13784082730611,ground_fb_loader_liveheel
18200,125689.60217859347,373.13664000000006,953.6,336.84604701,47.44958051864504,ground_fb_loader_liveheel
20631,20486.002479949308,186.4409375,263.25,109.87931489,42.4951696064737,ground_fb_loader_liveheel
20632,20486.002479949308,186.4409375,263.25,109.87931489,42.4951696064737,ground_fb_loader_liveheel
20673,103582.66198128139,594.337875,432.375,174.28245168,44.1892327615451,ground_fb_loader_liveheel
21443,40127.212622654726,595.8783333333333,580.3333333333334,67.34128491999999,34.0994690486363,ground_fb_loader_liveheel
30099,50297.948898899456,305.598,812.2307692307693,164.58860626999999,64.63402519131772,ground_fb_loader_liveheel
30103,35500.649851842114,281.55600000000004,734.2857142857142,126.08734976999996,32.86485505102927,ground_fb_loader_liveheel
31203,30347.283910805385,317.6268571428572,1191.857142857143,95.54382203,49.38576710664245,ground_fb_loader_liveheel
35154,37066.262004018245,566.7360000000001,717.0,65.40304834,28.305607044696806,ground_fb_loader_liveheel
