id,role,daily_hours,operating_cost
fb_01,feller_buncher,24.0,0.0
fb_02,feller_buncher,24.0,0.0
fb_03,feller_buncher,24.0,0.0
fb_04,feller_buncher,24.0,0.0
fb_05,feller_buncher,24.0,0.0
fb_06,feller_buncher,24.0,0.0
sk_01,grapple_skidder,24.0,0.0
sk_02,grapple_skidder,24.0,0.0
sk_03,grapple_skidder,24.0,0.0
sk_04,grapple_skidder,24.0,0.0
sk_05,grapple_skidder,24.0,0.0
sk_06,grapple_skidder,24.0,0.0
pr_01,processor,24.0,0.0
pr_02,processor,24.0,0.0
pr_03,processor,24.0,0.0
pr_04,processor,24.0,0.0
pr_05,processor,24.0,0.0
pr_06,processor,24.0,0.0
ld_01,loader,24.0,0.0
ld_02,loader,24.0,0.0
ld_03,loader,24.0,0.0
ld_04,loader,24.0,0.0
ld_05,loader,24.0,0.0
ld_06,loader,24.0,0.0
